PartitionKey,RowKey,Timestamp,Content,Content@type,ContentSource,ContentSource@type,ContentType,ContentType@type,Name,Name@type
Core,Absorptive,2023-05-30T20:15:17.800161Z,"#### Absorptive
When you are wearing armor or wielding a shield with this property, damage that you take from weapons is reduced by an amount equal to the absorptive number. If this would reduce the damage to 0, the damage is instead reduced to 1.",String,None,String,Core,String,Absorptive,String
Core,Agile,2023-05-30T20:15:17.800161Z,"#### Agile
While wearing armor or wielding a shield with this property, your Dexterity score becomes equal to the agile number. If your Dexterity is already equal to or greater than the agile number, it has no effect on you.",String,None,String,Core,String,Agile,String
Core,Anchor,2023-05-30T20:15:17.800161Z,"#### Anchor
A shield with this property can be used to provide cover. As an action, you can anchor or recover the shield. While anchored, you gain no benefit from a shield, and it does not require the use of a hand. Instead, while anchored, a light shield provides one-quarter cover, a medium shield provides half cover, and a heavy shield provides three-quarters cover.",String,None,String,Core,String,Anchor,String
Core,Avoidant,2023-05-30T20:15:17.800161Z,"#### Avoidant
When wearing armor or wielding a shield with this property and a creature makes an attack against you, the critical hit range decreases by an amount equal to the avoidant number, to a minimum of 1.",String,None,String,Core,String,Avoidant,String
Core,Barbed,2023-05-30T20:15:17.800161Z,"#### Barbed
When you succeed on a Strength (Athletics) check to initiate or maintain a grapple while wearing armor with this property, the creature takes kinetic damage using the barbed damage (which appears in parentheses with the property) + your Strength modifier.",String,None,String,Core,String,Barbed,String
Core,Bulky,2023-05-30T20:15:12.9409313Z,"#### Bulky
While wearing armor with this property, you have disadvantage on Dexterity (Stealth) checks that rely on sound.",String,None,String,Core,String,Bulky,String
Core,Charging,2023-05-30T20:15:17.800161Z,"#### Charging
When you take damage while wearing armor or wielding a shield with this property, you gain a charge. You can store a maximum number of charges equal to the charging number, and the charges last for 1 minute. The next time you hit with a melee weapon attack while you have charges, you deal additional damage of the same type as the weapon's damage equal to the number of charges stored, and the charges are expended.",String,None,String,Core,String,Charging,String
Core,Concealing,2023-05-30T20:15:17.800161Z,"#### Concealing
While wielding a shield with this property, you have advantage on Dexterity (Stealth) checks that rely on sight.",String,None,String,Core,String,Concealing,String
Core,Cumbersome,2023-05-30T20:15:17.800161Z,"#### Cumbersome
While wearing armor or wielding a shield with this property, your speed is reduced by 5.",String,None,String,Core,String,Cumbersome,String
Core,Gauntleted,2023-05-30T20:15:17.800161Z,"#### Gauntleted
While wearing armor with this property, your unarmed strikes deal kinetic damage using the gauntleted damage (which appears in parentheses with the property) + your Strength modifier.",String,None,String,Core,String,Gauntleted,String
Core,Imbalanced,2023-05-30T20:15:17.800161Z,"#### Imbalanced
When you are critically hit while wielding a shield with this property, you can't take reactions until the start of your next turn, and you gain no AC benefit from your shield against the next attack against you before the start of your next turn.",String,None,String,Core,String,Imbalanced,String
