PartitionKey,RowKey,Timestamp,AdventuringGearType,AdventuringGearType@type,ConsumableType,ConsumableType@type,ContentSource,ContentSource@type,ContentType,ContentType@type,CyberneticAugmentationType,CyberneticAugmentationType@type,DroidCustomizationType,DroidCustomizationType@type,EnhancedArmorType,EnhancedArmorType@type,EnhancedShieldType,EnhancedShieldType@type,EnhancedWeaponType,EnhancedWeaponType@type,FocusType,FocusType@type,HasPrerequisite,HasPrerequisite@type,ItemModificationType,ItemModificationType@type,Name,Name@type,RarityOptionsJson,RarityOptionsJson@type,RarityText,RarityText@type,RequiresAttunement,RequiresAttunement@type,Subtype,Subtype@type,Text,Text@type,Type,Type@type,ValuableType,ValuableType@type,Prerequisite,Prerequisite@type
Core,AB-75 Bo-Rifle,2023-05-30T20:15:15.970204Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,Specific,String,None,String,false,Boolean,None,String,AB-75 Bo-Rifle,String,"[""Prototype""]",String,prototype,String,false,Boolean,bo-rifle,String,"You have a +2 bonus to attack and damage rolls with this enhanced weapon. Additionally, while it is in staff mode, the save DC for its shocking property increases to 15.

_This version of the bo-rifle was exclusive to high-ranking members of the Honor Guard of Lasan._",String,Weapon,String,None,String,,
Core,Absorbing Amplifier Mk I,2023-05-30T20:15:16.2050705Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Amplifier Mk I,String,"[""Standard""]",String,standard,String,false,Boolean,wristpad,String,"This item gains the absorbing 2 property. If it already has the absorbing property, its absorbing number increases by 2, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Amplifier Mk II,2023-05-30T20:15:16.2050705Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Amplifier Mk II,String,"[""Premium""]",String,premium,String,false,Boolean,wristpad,String,"This item gains the absorbing 4 property. If it already has the absorbing property, its absorbing number increases by 4, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Amplifier Mk III,2023-05-30T20:15:16.2050705Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Amplifier Mk III,String,"[""Prototype""]",String,prototype,String,false,Boolean,wristpad,String,"This item gains the absorbing 6 property. If it already has the absorbing property, its absorbing number increases by 6, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Amplifier Mk IV,2023-05-30T20:15:16.2050705Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Amplifier Mk IV,String,"[""Advanced""]",String,advanced,String,false,Boolean,wristpad,String,"This item gains the absorbing 8 property. If it already has the absorbing property, its absorbing number increases by 8, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Amplifier Mk V,2023-05-30T20:15:16.2050705Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Amplifier Mk V,String,"[""Legendary""]",String,legendary,String,false,Boolean,wristpad,String,"This item gains the absorbing 10 property. If it already has the absorbing property, its absorbing number increases by 10, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Amplifier Mk VI,2023-05-30T20:15:16.2050705Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Amplifier Mk VI,String,"[""Artifact""]",String,artifact,String,false,Boolean,wristpad,String,"This item gains the absorbing 12 property. If it already has the absorbing property, its absorbing number increases to 12.",String,ItemModification,String,None,String,,
Core,Absorbing Conductor (Adept),2023-05-30T20:15:16.1610957Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Conductor (Adept),String,"[""Advanced""]",String,advanced,String,false,Boolean,focus generator,String,"This item gains the absorbing 8 property. If it already has the absorbing property, its absorbing number increases by 8, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Conductor (Ancient),2023-05-30T20:15:16.1620947Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Conductor (Ancient),String,"[""Artifact""]",String,artifact,String,false,Boolean,focus generator,String,"This item gains the absorbing 12 property. If it already has the absorbing property, its absorbing number increases to 12.",String,ItemModification,String,None,String,,
Core,Absorbing Conductor (Apprentice),2023-05-30T20:15:16.1620947Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Conductor (Apprentice),String,"[""Premium""]",String,premium,String,false,Boolean,focus generator,String,"This item gains the absorbing 4 property. If it already has the absorbing property, its absorbing number increases by 4, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Conductor (Journeyman),2023-05-30T20:15:16.1620947Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Conductor (Journeyman),String,"[""Prototype""]",String,prototype,String,false,Boolean,focus generator,String,"This item gains the absorbing 6 property. If it already has the absorbing property, its absorbing number increases by 6, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Conductor (Master),2023-05-30T20:15:16.1620947Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Conductor (Master),String,"[""Legendary""]",String,legendary,String,false,Boolean,focus generator,String,"This item gains the absorbing 10 property. If it already has the absorbing property, its absorbing number increases by 10, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorbing Conductor (Novice),2023-05-30T20:15:16.1630932Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorbing Conductor (Novice),String,"[""Standard""]",String,standard,String,false,Boolean,focus generator,String,"This item gains the absorbing 2 property. If it already has the absorbing property, its absorbing number increases by 2, to a maximum of 12.",String,ItemModification,String,None,String,,
Core,Absorptive Reinforcement,2023-05-30T20:15:16.1740873Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorptive Reinforcement,String,"[""Premium""]",String,premium,String,false,Boolean,armor,String,"This armor or shield gains the absorptive 1 property. If it already has the absorptive property, its absorptive property increases by 1, to a maximum of 3. ",String,ItemModification,String,None,String,,
Core,Absorptive Reinforcement Mk II,2023-05-30T20:15:16.1740873Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorptive Reinforcement Mk II,String,"[""Advanced""]",String,advanced,String,false,Boolean,armor,String,"This armor or shield gains the absorptive 2 property. If it already has the absorptive property, its absorptive number increases by 2, to a maximum of 3.",String,ItemModification,String,None,String,,
Core,Absorptive Reinforcement Mk III,2023-05-30T20:15:16.1740873Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Absorptive Reinforcement Mk III,String,"[""Artifact""]",String,artifact,String,false,Boolean,armor,String,"This armor or shield gains the absorptive 3 property. If it already has the absorptive property, its absorptive number increases to 3.",String,ItemModification,String,None,String,,
Core,Accessing Cycler (Chipped),2023-05-30T20:15:16.1630932Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Cycler (Chipped),String,"[""Premium""]",String,premium,String,false,Boolean,focus generator,String,"This item gains the accessing 2 property. If it already has the accessing property, its accessing number increases by 2, to a maximum of 6.",String,ItemModification,String,None,String,,
Core,Accessing Cycler (Cracked),2023-05-30T20:15:16.1540991Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Cycler (Cracked),String,"[""Standard""]",String,standard,String,false,Boolean,focus generator,String,"This item gains the accessing 1 property. If it already has the accessing property, its accessing number increases by 1, to a maximum of 6.",String,ItemModification,String,None,String,,
Core,Accessing Cycler (Flawed),2023-05-30T20:15:16.1540991Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Cycler (Flawed),String,"[""Prototype""]",String,prototype,String,false,Boolean,focus generator,String,"This item gains the accessing 3 property. If it already has the accessing property, its accessing number increases by 3, to a maximum of 6.",String,ItemModification,String,None,String,,
Core,Accessing Cycler (Flawless),2023-05-30T20:15:16.1540991Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Cycler (Flawless),String,"[""Legendary""]",String,legendary,String,false,Boolean,focus generator,String,"This item gains the accessing 5 property. If it already has the accessing property, its accessing number increases by 5, to a maximum of 6.",String,ItemModification,String,None,String,,
Core,Accessing Cycler (Perfect),2023-05-30T20:15:16.1550982Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Cycler (Perfect),String,"[""Artifact""]",String,artifact,String,false,Boolean,focus generator,String,"This item gains the accessing 6 property. If it already has the accessing property, its accessing number increases to 6.",String,ItemModification,String,None,String,,
Core,Accessing Cycler (Regular),2023-05-30T20:15:16.1550982Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Cycler (Regular),String,"[""Advanced""]",String,advanced,String,false,Boolean,focus generator,String,"This item gains the accessing 4 property. If it already has the accessing property, its accessing number increases by 4, to a maximum of 6.",String,ItemModification,String,None,String,,
Core,Accessing Motherboard (Adequate),2023-05-30T20:15:16.2060702Z,None,String,None,String,WH,String,Core,String,None,String,None,String,None,String,None,String,None,String,None,String,false,Boolean,None,String,Accessing Motherboard (Adequate),String,"[""Premium""]",String,premium,String,false,Boolean,wristpad,String,"This item gains the accessing 2 property. If it already has the accessing property, its accessing number increases by 2, to a maximum of 6.",String,ItemModification,String,None,String,,
