PartitionKey,RowKey,Timestamp,ArmorClassification,ArmorClassification@type,ContentSource,ContentSource@type,ContentType,ContentType@type,Cost,Cost@type,DamageDieModifier,DamageDieModifier@type,DamageDieType,DamageDieType@type,DamageNumberOfDice,DamageNumberOfDice@type,DamageType,DamageType@type,EquipmentCategory,EquipmentCategory@type,ModesJson,ModesJson@type,Name,Name@type,PropertiesJson,PropertiesJson@type,PropertiesMapJson,PropertiesMapJson@type,StealthDisadvantage,StealthDisadvantage@type,WeaponClassification,WeaponClassification@type,Weight,Weight@type,Description,Description@type,AC,AC@type,StrengthRequirement,StrengthRequirement@type
Core,Alchemist's kit,2023-05-30T20:15:17.4343683Z,Unknown,String,WH,String,Core,String,500,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Alchemist's kit,String,,String,,String,false,Boolean,Unknown,String,2,String,,,,,,
Core,Ammo-feed belt,2023-05-30T20:15:17.2034998Z,Unknown,String,WH,String,Core,String,450,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,WeaponOrArmorAccessory,String,[],String,Ammo-feed belt,String,,String,,String,false,Boolean,Unknown,String,1,String,"This belt has slots to hold 60 slug cartridges, and can be connected to directly fuel a single blaster weapon that uses slug cartridges. Once per turn, if the powered weapon would be reloaded, it can be done without using an action using any ammunition in the belt. Connecting or disconnecting a weapon takes an action. Replacing 10 slug cartridges takes an action.",String,,,,
Core,Andris,2023-05-30T20:15:17.205499Z,Unknown,String,WH,String,Core,String,75,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Spice,String,[],String,Andris,String,,String,,String,false,Boolean,Unknown,String,0,String,"Refined andris crystal, a spice mined most commonly on Sevarcos II, sharpens a creature's mind when smoked. As an action, you can apply this substance to a creature within 5 feet. For the next minute, the creature experiences a high that allows them to roll an additional d3 when making an ability check, attack roll, or saving throw using Wisdom. At the end of the high, the creature must succeed on a DC 14 Wisdom saving throw or experience a low that lasts 10 minutes, during which they must roll a d3 and subtract the result when making an ability check, attack roll, or saving throw using Wisdom. At the end of the low, the creature must make a DC 14 Constitution saving throw to resist addiction.",String,,,,
Core,Antitoxkit,2023-05-30T20:15:38.9660893Z,Unknown,String,PHB,String,Core,String,600,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Medical,String,[],String,Antitoxkit,String,,String,,String,false,Boolean,Unknown,String,4,String,"An antitoxkit contained a variety of wide-spectrum antidote hypospray injectors that were designed to neutralize all known poisons. A kit has five charges. As an action, you can administer a charge of the kit to cure a target of one poison affecting them or to give them advantage on saving throws against poison for 1 hour. It confers no benefit to droids or constructs.",String,,,,
Core,Archaeologist kit,2023-05-30T20:15:17.4343683Z,Unknown,String,WH,String,Core,String,125,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Archaeologist kit,String,,String,,String,false,Boolean,Unknown,String,4,String,,,,,,
Core,Arm prosthesis,2023-05-30T20:15:17.2015014Z,Unknown,String,WH,String,Core,String,450,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Medical,String,[],String,Arm prosthesis,String,,String,,String,false,Boolean,Unknown,String,0,String,,,,,,
Core,Armormech's implements,2023-05-30T20:15:38.6922457Z,Unknown,String,PHB,String,Core,String,200,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Armormech's implements,String,,String,,String,false,Boolean,Unknown,String,8,String,,,,,,
Core,Armstech's implements,2023-05-30T20:15:38.6922457Z,Unknown,String,PHB,String,Core,String,250,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Armstech's implements,String,,String,,String,false,Boolean,Unknown,String,9,String,,,,,,
Core,Artificer's implements,2023-05-30T20:15:38.6922457Z,Unknown,String,PHB,String,Core,String,300,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Artificer's implements,String,,String,,String,false,Boolean,Unknown,String,5,String,,,,,,
Core,Artillerist's kit,2023-05-30T20:15:17.4343683Z,Unknown,String,WH,String,Core,String,275,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Artillerist's kit,String,,String,,String,false,Boolean,Unknown,String,0,String,,,,,,
Core,Artist's implements,2023-05-30T20:15:17.206498Z,Unknown,String,WH,String,Core,String,100,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Artist's implements,String,,String,,String,false,Boolean,Unknown,String,5,String,,,,,,
Core,Assault armor,2023-05-30T20:15:38.6902469Z,Heavy,String,PHB,String,Core,String,2000,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Armor,String,[],String,Assault armor,String,"[""Bulky"",""strength 15""]",String,"{""Bulky"":""Bulky"",""Strength"":""strength 15""}",String,true,Boolean,Unknown,String,60,String,"Assault armor improved on battle armor, with the benefit of micro-hydraulics that boost the efficacy of the operator. It offers better protection, but increased weight.",String,17,String,,String
Core,Assault cannon,2023-05-30T20:15:38.6812514Z,Unknown,String,PHB,String,Core,String,1550,Int32,0,Int32,12,Int32,1,Int32,Energy,String,Weapon,String,[],String,Assault cannon,String,"[""Burst 4"",""power cell (range 90/360)"",""reload 4"",""strength 15"",""two-handed""]",String,"{""Burst"":""Burst 4"",""Power Cell"":""power cell (range 90/360)"",""Reload"":""reload 4"",""Strength"":""strength 15"",""Two-Handed"":""two-handed""}",String,false,Boolean,MartialBlaster,String,15,String,,,,,,
Core,Astrotech's implements,2023-05-30T20:15:38.6922457Z,Unknown,String,PHB,String,Core,String,400,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Astrotech's implements,String,,String,,String,false,Boolean,Unknown,String,0,String,,,,,,
Core,Audiotech's implements,2023-05-30T20:15:17.206498Z,Unknown,String,WH,String,Core,String,550,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Tool,String,[],String,Audiotech's implements,String,,String,,String,false,Boolean,Unknown,String,0,String,,,,,,
Core,BKG,2023-05-30T20:15:17.4243743Z,Unknown,String,WH,String,Core,String,2750,Int32,0,Int32,4,Int32,3,Int32,Energy,String,Weapon,String,[],String,BKG,String,"[""Auto"",""burst 2"",""disintegrate 13"",""power cell (range 120/480)"",""reload 2"",""strength 19"",""two-handed"",""vicious 1""]",String,"{""Auto"":""Auto"",""Burst"":""burst 2"",""Disintegrate"":""disintegrate 13"",""Power Cell"":""power cell (range 120/480)"",""Reload"":""reload 2"",""Strength"":""strength 19"",""Two-Handed"":""two-handed"",""Vicious"":""vicious 1""}",String,false,Boolean,MartialBlaster,String,19,String,,,,,,
Core,Backpack,2023-05-30T20:15:38.9670882Z,Unknown,String,PHB,String,Core,String,50,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Storage,String,[],String,Backpack,String,,String,,String,false,Boolean,Unknown,String,5,String,"A backpack stores 30 lb., not exceeding 1 cubic foot. ",String,,,,
Core,Bandfill,2023-05-30T20:15:17.2084975Z,Unknown,String,WH,String,Core,String,300,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,MusicalInstrument,String,[],String,Bandfill,String,,String,,String,false,Boolean,Unknown,String,2,String,,,,,,
Core,Bandolier,2023-05-30T20:15:38.971087Z,Unknown,String,PHB,String,Core,String,100,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,WeaponOrArmorAccessory,String,[],String,Bandolier,String,,String,,String,false,Boolean,Unknown,String,2,String,"A bandolier is worn across the chest. It has 12 pockets that can each hold a single item that weighs less than 2.00 lb, such as a vibrodagger, a fragmentation grenade, or a power cell. Once per turn, drawing an item from a bandolier does not require your object interaction.",String,,,,
Core,Battle armor,2023-05-30T20:15:38.6902469Z,Heavy,String,PHB,String,Core,String,750,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Armor,String,[],String,Battle armor,String,"[""Bulky"",""strength 13""]",String,"{""Bulky"":""Bulky"",""Strength"":""strength 13""}",String,true,Boolean,Unknown,String,55,String,"Battle armor is an armor that reduced weight, but restricts movement. The armor is commonly used by mercenaries, bounty hunters, soldiers, and civilians that live in dangerous areas.",String,16,String,,String
Core,Beam rifle,2023-05-30T20:15:38.6812514Z,Unknown,String,PHB,String,Core,String,1850,Int32,0,Int32,6,Int32,2,Int32,Energy,String,Weapon,String,[],String,Beam rifle,String,"[""Penetrating 2"",""power cell (range 150/600)"",""reload 2"",""strength 15"",""two-handed""]",String,"{""Penetrating"":""Penetrating 2"",""Power Cell"":""power cell (range 150/600)"",""Reload"":""reload 2"",""Strength"":""strength 15"",""Two-Handed"":""two-handed""}",String,false,Boolean,MartialBlaster,String,16,String,,,,,,
Core,Bedroll,2023-05-30T20:15:38.9680886Z,Unknown,String,PHB,String,Core,String,10,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Utility,String,[],String,Bedroll,String,,String,,String,false,Boolean,Unknown,String,7,String,,,,,,
Core,Beskar weave armor,2023-05-30T20:15:17.4323701Z,Medium,String,WH,String,Core,String,3000,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Armor,String,[],String,Beskar weave armor,String,"[""Regulated"",""strength 11""]",String,"{""Regulated"":""Regulated"",""Strength"":""strength 11""}",String,false,Boolean,Unknown,String,25,String,,,14 + Dex modifier (max 2),String,,String
Core,Binders,2023-05-30T20:15:38.9680886Z,Unknown,String,PHB,String,Core,String,50,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Utility,String,[],String,Binders,String,,String,,String,false,Boolean,Unknown,String,6,String,"Binders can be used to restrain a Small or Medium creature with appropriate appendages. Applying binders takes an action, and the target must make a DC 14 Strength or Dexterity saving throw (the target chooses the ability to use). A hostile creature makes this save with advantage. Breaking the binders requires a DC 20 Strength check. Escaping them requires a DC 20 Dexterity check. A set of binders comes with one key. Without the key, unlocking the binders requires a DC 15 security kit to force open. Binders have an AC of 10 and 15 hit points. Destroying the binders frees the creature without harming it.",String,,,,
Core,Bioanalysis kit,2023-05-30T20:15:17.4353692Z,Unknown,String,WH,String,Core,String,50,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Bioanalysis kit,String,,String,,String,false,Boolean,Unknown,String,3,String,,,,,,
Core,Biochemist's kit,2023-05-30T20:15:38.9590936Z,Unknown,String,PHB,String,Core,String,500,Int32,0,Int32,0,Int32,0,Int32,Unknown,String,Kit,String,[],String,Biochemist's kit,String,,String,,String,false,Boolean,Unknown,String,8,String,,,,,,
