PartitionKey,RowKey,Timestamp,Level,Level@type,Name,Name@type,Source,Source@type,SourceName,SourceName@type,Text,Text@type,Metadata,Metadata@type
Core,Archetype-Acquisitions Practice-Aerial Agility-13,2023-05-30T20:15:42.7889099Z,13,Int32,Aerial Agility,String,Archetype,String,Acquisitions Practice,String,"_**Acquisitions Practice:** 13th level_
Your agility in the air grants you the following benefits:
- When you move, you can instead take 3 short movements by flying.
- Whenever you end your flying movement and you are within 5 feet of a climbable surface, you can grab onto that surface as though you were climbing upon it.",String,,
Core,Archetype-Acquisitions Practice-Deft Hands-3,2023-05-30T20:15:42.7889099Z,3,Int32,Deft Hands,String,Archetype,String,Acquisitions Practice,String,"_**Acquisitions Practice:** 3rd level_
You learn a number of techniques to distract and confuse your opponents. When you deal Sneak Attack damage, you may choose to forgo two of your Sneak Attack dice to perform a deft hand maneuver.
Some of your deft hand maneuvers require your target to make a saving throw to resist the deft hand maneuver's effects. The saving throw DC is as follows:
___
**Deft Hands save DC** = 8 + your proficiency bonus + your Dexterity modifier
___
#### Hinder
You attempt to distract your target in order to hinder their movement. The target must make a Constitution saving throw. On a failed save, it gains 1 slowed level until the end of its next turn and it makes the first Dexterity saving throw before the end of its next turn with disadvantage.
#### Pilfer
You attempt to pick your target's pockets. The target must make a Wisdom saving throw. On a failed save, you have advantage on the first Dexterity (Sleight of Hand) check you make against the target before the end of your next turn.
#### Tumble
You attempt to nimbly roll away. You immediately move 10 feet in a direction of your choice, and the target must make a Dexterity saving throw. On a failed save, this movement does not provoke opportunity attacks from the creature.",String,,
Core,Archetype-Acquisitions Practice-Fast and Agile-3,2023-05-30T20:15:42.7879094Z,3,Int32,Fast and Agile,String,Archetype,String,Acquisitions Practice,String,"_**Acquisitions Practice:** 3rd level_
You can use the bonus action granted by your Cunning Action to make a Dexterity (Sleight of Hand) check, use your demolitions kit or security kit to disarm a trap or open a lock, or take the Use an Object action.
Additionally, climbing no longer costs you extra movement, and you gain the ability to move in flying leaps with incredible speed, precision, and power. When you move, instead of using your walking speed, you may take two short movements by flying. Each movement is at half your speed, and you must end each one on a solid object, a surface, or on the ground. If you do not, you fall and your movement ends. If you Dash, your bonus movement is applied to your normal speed, not this movement. ",String,,
Core,Archetype-Acquisitions Practice-Supreme Sneak-9,2023-05-30T20:15:42.7889099Z,9,Int32,Supreme Sneak,String,Archetype,String,Acquisitions Practice,String,"_**Acquisitions Practice:** 9th level_
You have advantage on a Dexterity (Stealth) check if you move no more than half your speed on the same turn. Additionally, as long as you aren't incapacitated, you no longer take damage from falling less than 100 feet, and have resistance to falling damage.",String,,
Core,Archetype-Armormech Engineering-Armormech's Celerity-17,2023-05-30T20:15:42.7189494Z,17,Int32,Armormech's Celerity,String,Archetype,String,Armormech Engineering,String,"_**Armormech Engineering:** 14th and 17th level_
When you take the Attack action or use your action to a cast a tech power of 1st-level or higher, you can make one weapon attack as a bonus action.
You can use this feature five times. You gain an additional use at 17th level. You regain all expended uses when you complete a long rest.",String,,
Core,Archetype-Armormech Engineering-Bonus Proficiencies-3,2023-05-30T20:15:42.7189494Z,3,Int32,Bonus Proficiencies,String,Archetype,String,Armormech Engineering,String,"_**Armormech Engineering:** 3rd level_
You gain proficiency in armormech's implements, medium armor, and heavy armor. Additionally, when you engage in crafting with armormech's implements, the rate at which you craft doubles.",String,,
Core,Archetype-Armormech Engineering-Damage Absorption-3,2023-05-30T20:15:42.7189494Z,3,Int32,Damage Absorption,String,Archetype,String,Armormech Engineering,String,"_**Armormech Engineering:** 3rd level_
When you take damage, you can use your reaction and expend one use of your Potent Aptitude to absorb some of that damage. When you do so, the damage you take from the attack is reduced by the amount rolled on the die + your Intelligence modifier (minimum of +1). You must be wearing your modified armor or wielding your modified shield to gain this benefit.",String,,
Core,Archetype-Armormech Engineering-Extra Attack-6,2023-05-30T20:15:42.7189494Z,6,Int32,Extra Attack,String,Archetype,String,Armormech Engineering,String,"_**Armormech Engineering:** 6th level_
You can attack twice, instead of once, whenever you take the Attack action on your turn. You must be wearing your modified armor or wielding your modified shield to gain this benefit.",String,,
Core,Archetype-Armormech Engineering-Modified Armor-3,2023-05-30T20:15:42.7189494Z,3,Int32,Modified Armor,String,Archetype,String,Armormech Engineering,String,"_**Armormech Engineering:** 3rd level_
You learn to modify one unenhanced suit of armor or shield utilizing your armormech knowledge. Over the course of a long rest, you can modify one suit of armor or a shield. You must have the armor or shield and armormech's implements in order to perform this modification.
Your modified armor or shield is enhanced, requires attunement, can only be used by you, and counts as a tech focus for your tech powers while you are attuned to it. Your modified armor has 4 modification slots, and it gains more at higher levels, as shown in the Modification Slots column of the engineer table. For each modification installed in excess of your proficiency bonus, your tech point maximum is reduced by 1. Over the course of a long rest, you can install, replace, or remove a number of modifications up to your Intelligence modifier (minimum of one).
Some modification effects require saving throws. When you use such an effect from this class, the DC equals your tech save DC.
At 9th level, you can maintain both a modified suit of armor and shield. Each modified item has modification slots as shown in the Modification Slots column of the engineer table.",String,,
Core,Archetype-Armormech Engineering-Suit Reliability-18,2023-05-30T20:15:42.71995Z,18,Int32,Suit Reliability,String,Archetype,String,Armormech Engineering,String,"_**Armormech Engineering:** 18th level_
Your suit is like a second skin. Ability checks and saving throws you make that use Strength, Dexterity, or Constitution gain a minimum roll threshold, discussed in chapter 7. You must be wearing your modified armor or wielding your modified shield to gain this benefit.",String,,
Core,Archetype-Armstech Engineering-Armstech's Salvo-18,2023-05-30T20:15:42.7209484Z,18,Int32,Armstech's Salvo,String,Archetype,String,Armstech Engineering,String,"_**Armstech Engineering:** 18th level_
When you use your Targeting Matrix feature, and the tech power would affect more than one creature, you can instead attack each affected creature that would be in the range of the power. Make a separate attack roll for each target. On a hit, each target suffers the effects as though they failed their saving throw.",String,,
Core,Archetype-Armstech Engineering-Armstech's Strike-6,2023-05-30T20:15:42.71995Z,6,Int32,Armstech's Strike,String,Archetype,String,Armstech Engineering,String,"_**Armstech Engineering:** 6th level_
Once per round, when you deal damage to a creature with your modified weapon, you can increase the damage by 1d6. The damage is of the same type as the weapon's damage.
The damage increases to 2d6 at 11th level and 3d6 at 17th level.",String,,
Core,Archetype-Armstech Engineering-Bonus Proficiencies-3,2023-05-30T20:15:42.71995Z,3,Int32,Bonus Proficiencies,String,Archetype,String,Armstech Engineering,String,"_**Armstech Engineering:** 3rd level_
You gain proficiency in armstech's implements, medium armor, martial blasters, and martial vibroweapons. Additionally, when you engage in crafting with armstech's implements, the rate at which you craft doubles.",String,,
Core,Archetype-Armstech Engineering-Close Call-3,2023-05-30T20:15:42.71995Z,3,Int32,Close Call,String,Archetype,String,Armstech Engineering,String,"_**Armstech Engineering:** 3rd level_
When you make an attack roll with your modified weapon and miss, you can expend one use of your Potent Aptitude to attempt to turn that miss into a hit. Roll the die and add it to the attack roll. ",String,,
Core,Archetype-Armstech Engineering-Modified Weaponry-3,2023-05-30T20:15:42.71995Z,3,Int32,Modified Weaponry,String,Archetype,String,Armstech Engineering,String,"_**Armstech Engineering:** 3rd level_
You learn to modify one unenhanced weapon with which you are proficient utilizing your armstech experience. Over the course of a long rest, you can modify the weapon. You must have the weapon and armstech's implements in order to perform this modification.
Your modified weapon is enhanced, requires attunement, can only be used by you, and counts as a tech focus for your tech powers while you are attuned to it. Your modified weapon has 4 modification slots, and it gains more at higher levels, as shown in the Modification Slots column of the engineer table. For each modification installed in excess of your proficiency bonus, your tech point maximum is reduced by 1. Over the course of a long rest, you can install, replace, or remove a number of modifications up to your Intelligence modifier (minimum of one).
Some modification effects require saving throws. When you use such an effect from this class, the DC equals your tech save DC.
At 9th level, you can maintain two modified weapons. Each modified weapon has modification slots as shown in the Modification Slots column of the engineer table.",String,,
Core,Archetype-Armstech Engineering-Targeting Matrix-17,2023-05-30T20:15:42.71995Z,17,Int32,Targeting Matrix,String,Archetype,String,Armstech Engineering,String,"_**Armstech Engineering:** 14th and 17th level_
When you cast a tech power that allows you to force creatures in an area to make a saving throw, you can instead make an attack roll with your modified weapon against a single target that would be in the range of the power. On a hit, the target suffers the effects as though they failed their saving throw. If the power would affect more than one creature, it instead affects only one.
You can use this feature five times. You gain an additional use at 17th level. You regain any expended uses when you finish a long rest.",String,,
Core,Archetype-Assault Specialist-Additional Fighting Style-10,2022-05-29T01:36:27.7440059Z,10,Int32,Additional Fighting Style,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 10th level_
You can choose a second fighting style option.",String,,
Core,Archetype-Assault Specialist-Brute Force-10,2023-05-30T20:15:42.722948Z,10,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 10th, and 16th level_
When you make a weapon attack, you gain a +2 bonus to the damage roll. This bonus increases to +3 at 10th level and +4 at 16th level.",String,,
Core,Archetype-Assault Specialist-Brute Force-13,2022-05-29T01:36:27.7440059Z,13,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 5th, 9th, 13th, and 17th level_
Once per turn, when you deal damage with a weapon, you can deal an additional 1d4 damage of the same type as the weapon's damage. If this damage would affect multiple creatures, you can only apply this damage bonus to one of them.
This damage increases to 1d6 at 5th level, 1d8 at 9th level, 1d10 at 13th level, and 1d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brute Force-16,2023-05-30T20:15:42.722948Z,16,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 10th, and 16th level_
When you make a weapon attack, you gain a +2 bonus to the damage roll. This bonus increases to +3 at 10th level and +4 at 16th level.",String,,
Core,Archetype-Assault Specialist-Brute Force-17,2022-05-29T01:36:27.7440059Z,17,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 5th, 9th, 13th, and 17th level_
Once per turn, when you deal damage with a weapon, you can deal an additional 1d4 damage of the same type as the weapon's damage. If this damage would affect multiple creatures, you can only apply this damage bonus to one of them.
This damage increases to 1d6 at 5th level, 1d8 at 9th level, 1d10 at 13th level, and 1d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brute Force-3,2023-05-30T20:15:42.722948Z,3,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 10th, and 16th level_
When you make a weapon attack, you gain a +2 bonus to the damage roll. This bonus increases to +3 at 10th level and +4 at 16th level.",String,,
Core,Archetype-Assault Specialist-Brute Force-5,2022-05-29T01:36:27.7440059Z,5,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 5th, 9th, 13th, and 17th level_
Once per turn, when you deal damage with a weapon, you can deal an additional 1d4 damage of the same type as the weapon's damage. If this damage would affect multiple creatures, you can only apply this damage bonus to one of them.
This damage increases to 1d6 at 5th level, 1d8 at 9th level, 1d10 at 13th level, and 1d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brute Force-9,2022-05-29T01:36:27.7440059Z,9,Int32,Brute Force,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd, 5th, 9th, 13th, and 17th level_
Once per turn, when you deal damage with a weapon, you can deal an additional 1d4 damage of the same type as the weapon's damage. If this damage would affect multiple creatures, you can only apply this damage bonus to one of them.
This damage increases to 1d6 at 5th level, 1d8 at 9th level, 1d10 at 13th level, and 1d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brutish Durability-10,2023-05-30T20:15:42.7239459Z,10,Int32,Brutish Durability,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 10th, 13th, and 17th level_
Once per round, you can roll a d8 and add the die to a saving throw you make. If applying this bonus to a death saving throw increases the total to 20 or higher, you gain the benefits of rolling a 20 on the d20.
This die increases to a d10 at 13th level and a d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brutish Durability-13,2023-05-30T20:15:42.7239459Z,13,Int32,Brutish Durability,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 10th, 13th, and 17th level_
Once per round, you can roll a d8 and add the die to a saving throw you make. If applying this bonus to a death saving throw increases the total to 20 or higher, you gain the benefits of rolling a 20 on the d20.
This die increases to a d10 at 13th level and a d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brutish Durability-17,2023-05-30T20:15:42.7239459Z,17,Int32,Brutish Durability,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 10th, 13th, and 17th level_
Once per round, you can roll a d8 and add the die to a saving throw you make. If applying this bonus to a death saving throw increases the total to 20 or higher, you gain the benefits of rolling a 20 on the d20.
This die increases to a d10 at 13th level and a d12 at 17th level.",String,,
Core,Archetype-Assault Specialist-Brutish Durability-7,2022-05-29T01:36:27.7440059Z,7,Int32,Brutish Durability,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 7th level_
Once per round, roll 1d6 and add the die to your saving throw total. If applying this bonus to a death saving throw increases the total to 20 or higher, you gain the benefits of rolling a 20 on the d20. You can choose to use this feature before or after you make a saving throw, but you must decide before the GM says whether the save succeeds or fails.",String,,
Core,Archetype-Assault Specialist-Devastating Critical-15,2023-05-30T20:15:42.7239459Z,15,Int32,Devastating Critical,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 15th level_
When you score a critical hit with a weapon attack, you gain a bonus to that weapon's damage roll equal to your fighter level.",String,,
Core,Archetype-Assault Specialist-Improved Critical-3,2023-05-30T20:15:42.722948Z,3,Int32,Improved Critical,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd level_
Your critical hit range with weapons increases by 1.",String,,
Core,Archetype-Assault Specialist-Remarkable Athlete-3,2022-05-29T01:36:27.7440059Z,3,Int32,Remarkable Athlete,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 3rd level_
You can add half your proficiency bonus to any Strength, Dexterity, or Constitution check you make that doesn't already use your proficiency bonus.",String,,
Core,Archetype-Assault Specialist-Remarkable Athlete-7,2023-05-30T20:15:42.7239459Z,7,Int32,Remarkable Athlete,String,Archetype,String,Assault Specialist,String,"_**Assault Specialist:** 7th level_
You can add half your proficiency bonus to any Strength, Dexterity, or Constitution check you make that doesn't already use your proficiency bonus.",String,,
Core,"Archetype-Ballistic Approach-Down, Not Out-10",2023-05-30T20:15:42.7139526Z,10,Int32,"Down, Not Out",String,Archetype,String,Ballistic Approach,String,"_**Ballistic Approach:** 10th level_
When you are hit with an attack by a creature within 30 feet of you, you can use your reaction to make a single attack against that creature with a blaster with which you are proficient.",String,,
Core,Archetype-Ballistic Approach-Explosive-9,2023-05-30T20:15:42.7139526Z,9,Int32,Explosive,String,Archetype,String,Ballistic Approach,String,"_**Ballistic Approach:** 3rd and 9th level_
While raging, you gain the following benefits:
- Your blaster weapon damage rolls gain a minimum roll threshold, discussed in chapter 7.
- You add your rage damage to damage rolls from ranged weapon attacks using Strength. 
- At 9th level, when a creature rolls a 1 on a saving throw against your burst or rapid property, you can add your Brutal Critical dice to the damage.",String,,
