PartitionKey,RowKey,Timestamp,ContentSource,ContentSource@type,ContentType,ContentType@type,Description,Description@type,Name,Name@type
Core,Aqinos Form,2023-05-30T20:15:09.8416993Z,PHB,String,Core,String,"_**Prerequisite:** The ability to cast tech powers_
As a part of the bonus action to adopt this form, if you cast a tech power of 1st level or higher as your action, but no higher than half your Max Power Level, you can make one melee weapon attack.
",String,Aqinos Form,String
Core,Ataru Form,2023-05-30T20:15:09.8416993Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, you can leap up to 15 feet to an unoccupied space you can see.
",String,Ataru Form,String
Core,Bakuuni Hand Form,2023-05-30T20:15:09.8416993Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, if you took the Attack action and would be able to use your bonus action to make an unarmed strike, you can do so as a part of this bonus action.

Until the start of your next turn, when a creature enters your reach or moves while within your reach, you can use your reaction to attempt to shove the creature. On a success, you can choose shove the target an additional 5 feet.
",String,Bakuuni Hand Form,String
Core,Djem So Form,2023-05-30T20:15:09.8416993Z,PHB,String,Core,String,"Before the end of your next turn, you can add half your Wisdom or Charisma modifier (your choice, minimum of +1) to one ability check or attack roll you make using Strength. 
",String,Djem So Form,String
Core,Drallig Form,2023-05-30T20:15:09.8416993Z,PHB,String,Core,String,"Until the start of your next turn, you gain a special reaction. When a creature enters your reach or moves while within your reach, you can use this special reaction to leap to an unoccupied space you can see within 10 feet without provoking opportunity attacks from that creature.
",String,Drallig Form,String
Core,Ishu Form,2023-05-30T20:15:09.8416993Z,PHB,String,Core,String,"If there is a friendly creature within 15 feet of you, you can move up to 10 feet without provoking opportunity attacks. You must end this movement within 5 feet of the friendly creature.
",String,Ishu Form,String
Core,Jar'Kai Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, if you took the Attack action, you can engage in Double- or Two-Weapon Fighting. 

Each time you hit with an attack on this turn, you can move up to 5 feet without provoking opportunity attacks from the creature you hit. 
",String,Jar'Kai Form,String
Core,Juyo Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"Until the start of your next turn, your critical hit range with weapons increases by 1.
",String,Juyo Form,String
Core,Makashi Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"Until the start of your next turn, you gain a special reaction. When a creature makes a melee weapon attack against you and misses, you can use this special reaction to make an opportunity attack against that creature. 
",String,Makashi Form,String
Core,Niman Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, if you took the Attack action, you can engage in Double- or Two-Weapon Fighting. 

Until the end of your next turn, you can use Wisdom or Charisma instead of Strength or Dexterity for the attack and damage rolls of your melee weapon attacks. You must use the same modifier for both rolls.
",String,Niman Form,String
Core,Shien Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"Before the end of your next turn, you can add half your Wisdom or Charisma modifier (your choice, minimum of +1) to your AC against one attack. 
",String,Shien Form,String
Core,Shii-Cho Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, if you took the Attack action, you can engage in Double- or Two-Weapon Fighting.

Additionally, the first time you hit a Large or smaller creature within 5 feet of you with a weapon attack before the end of your next turn, you can force the target to make a Strength saving throw (DC = 8 + your bonus to attacks with the weapon). On a failed save, it is pushed back 5 feet, and you can immediately move into the space it just vacated without provoking opportunity attacks.
",String,Shii-Cho Form,String
Core,Sokan Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"Until the start of your next turn, you ignore difficult terrain. Additionally, when a hostile creature makes a melee weapon attack against you, you can use your reaction to move to another space within 5 feet of that creature without provoking opportunity attacks, imposing disadvantage on the triggering roll.
",String,Sokan Form,String
Core,Soresu Form,2023-05-30T20:15:09.8426994Z,PHB,String,Core,String,"The first time you take kinetic, energy, or ion damage from a weapon before the end of your next turn, that damage is reduced by half.
",String,Soresu Form,String
Core,Trakata Form,2023-05-30T20:15:09.8436975Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, you can flourish your weapon to attempt to distract an enemy you can see. Make a Dexterity (Sleight of Hand) or Charisma (Deception) check (your choice) contested by a Wisdom (Perception) check of one creature that you can see within 5 feet of you. On a success, that creature has disadvantage on the next attack roll it makes against you.
",String,Trakata Form,String
Core,Trispzest Form,2023-05-30T20:15:09.8436975Z,PHB,String,Core,String,"Once before the start of your next turn, you have advantage on a melee weapon attack against a creature that is frightened of you.
",String,Trispzest Form,String
Core,Twilight Form,2023-05-30T20:15:09.8436975Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, you can mask yourself with the force to attempt to hide from an enemy you can see. Make a Dexterity (Stealth) check contested by a Wisdom (Perception) check of one creature that you can see within 5 feet of you. On a success, you become invisible to that creature until the start of your next turn, or until you attack, cast a power, or otherwise take a hostile action against it.
",String,Twilight Form,String
Core,Vaapad Form,2023-05-30T20:15:09.8436975Z,PHB,String,Core,String,"Once before the start of your next turn, if you would have advantage on a melee weapon attack, you can choose to forgo the advantage. If you do so, you can make one melee weapon attack against the same target (no action required), also without advantage.
",String,Vaapad Form,String
Core,Vonil Form,2023-05-30T20:15:09.8436975Z,PHB,String,Core,String,"If you took the Attack action before adopting this form, you can direct one of your allies to strike a creature you hit with an attack. Choose a friendly creature that can see or hear you and is within 5 feet of the creature you hit with an attack. That creature can immediately use its reaction to make one weapon attack against the same creature.
",String,Vonil Form,String
Core,Ysannanite Form,2023-05-30T20:15:09.8436975Z,PHB,String,Core,String,"As a part of the bonus action to adopt this form, if you took the Attack action, you can engage in Double- or Two-Weapon Fighting. 

Additionally, until the end of your next turn, when making a ranged weapon attack while you are within 5 feet of a hostile creature, you do not have disadvantage on the attack roll. ",String,Ysannanite Form,String
