PartitionKey,RowKey,Timestamp,Content,Content@type,ContentSource,ContentSource@type,ContentType,ContentType@type,Name,Name@type
Core,Ability Score Point Cost,2023-05-30T20:15:37.9866486Z,"|Score|Cost|
|:--:|:--:|
|8|0|
|9|1|
|10|2|
|11|3|
|12|4|
|13|5|
|14|7|
|15|9|",String,None,String,Core,String,Ability Score Point Cost,String
Core,Ability Scores and Modifiers,2023-05-30T20:15:37.9866486Z,"|Score|Modifier|
|:--:|:--:|
|1|-5|
|2-3|-4|
|4-5|-3|
|6-7|-2|
|8-9|-1|
|10-11|+0|
|12-13|+1|
|14-15|+2|
|16-17|+3|
|18-19|+4|
|20-21|+5|
|22-23|+6|
|24-25|+7|
|26-27|+8|
|28-29|+9|
|30|+10|",String,None,String,Core,String,Ability Scores and Modifiers,String
Core,Base Hyperspace Travel Times (Hours),2023-05-30T20:15:37.9886472Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Base Hyperspace Travel Times (Hours),String
Core,Base Upgrade Cost by Tier,2023-05-30T20:15:37.9876476Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Base Upgrade Cost by Tier,String
Core,Deployment Rank Prestige,2023-05-30T20:15:37.9866486Z,"|DeploymentRank|TotalPrestige|
|:--:|:--:|
|1st|1|
|2nd|4|
|3rd|8|
|4th|12|
|5th|16|",String,None,String,Core,String,Deployment Rank Prestige,String
Core,Hyperspace Mishaps,2023-05-30T20:15:37.9886472Z,"The Player's Handbook mirrors the traditional 5th edition Player's Handbook, with the following deviations.",String,None,String,Core,String,Hyperspace Mishaps,String
Core,Lifestyle Expenses,2023-05-30T20:15:37.9866486Z,"|	Lifestyle		|	Price/Day	|
|:--|--:|
|	Wretched		|	�	|
|	Squalid		|	1 cr	|
|	Poor		|	2 cr	|
|	Modest		|	10 cr	|
|	Comfortable		|	20 cr	|
|	Wealthy		|	40 cr	|
|	Aristocratic		|	at least 100 cr 	|",String,None,String,Core,String,Lifestyle Expenses,String
Core,Modification Capacity by Ship Size,2023-05-30T20:15:37.9876476Z,"| Starship Size | Modification Slots |
|:----:|:----:|
| Tiny  |10 |
| Small |20 |
| Medium |30 |
| Large |50 |
| Huge |60 |
| Gargantuan |70 |",String,None,String,Core,String,Modification Capacity by Ship Size,String
Core,Modification Category Base Cost,2023-05-30T20:15:37.9876476Z,"| Modification Category | Base Cost |
|:----|----:|
| Engineering  | 3,500 cr |
| Operation | 3,500 cr |
| Suite | 5,000 cr |
| Universal | 4,000 cr |
| Weapon | 3,000 cr |",String,None,String,Core,String,Modification Category Base Cost,String
Core,Modification Grade Installation by Ship Tier,2023-05-30T20:15:37.9876476Z,"|Modification Grade|Tier 0|Tier 1|Tier 2|Tier 3|Tier 4|Tier 5|
|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|:--:|
|**Grade 0**| 10|  9|  8|  7|  6|  5|
|**Grade 1**| 17| 12| 11| 10|  9|  8| 
|**Grade 2**| 24| 19| 14| 13| 12| 11| 
|**Grade 3**| 31| 26| 21| 16| 15| 14| 
|**Grade 4**| 38| 33| 28| 23| 18| 17| 
|**Grade 5**| 45| 40| 35| 30| 25| 20| ",String,None,String,Core,String,Modification Grade Installation by Ship Tier,String
