PartitionKey,RowKey,Timestamp,ContentSource,ContentSource@type,ContentType,ContentType@type,Description,Description@type,Name,Name@type,Prerequisite,Prerequisite@type
ExpandedContent,Berserker,2023-05-06T20:49:25.1048591Z,EC,String,ExpandedContent,String,"On your turn, you can enter a rage as a bonus action if you aren't wearing heavy armor.

While raging, you gain the following benefits:
- You have advantage on Strength checks and Strength saving throws.
- When you make a melee weapon attack using Strength, you gain a +2 bonus to the damage roll.
- You have resistance to kinetic and energy damage.

If you are able to cast powers, you can't cast them or concentrate on them while raging.

Your rage lasts for 1 minute. It ends early if you are knocked unconscious, you don heavy armor, or if your turn ends and you haven't taken a hostile action or taken damage since your last turn. You can also end your rage on your turn as a bonus action.

You can use this feature once. You gain an additional use at 11th level. You regain all expended uses when you complete a long rest.
",String,Berserker,String,No levels in berserker,String
ExpandedContent,Consular,2023-05-06T20:49:25.1048591Z,EC,String,ExpandedContent,String,"You gain the ability to twist your powers to suit your needs. When you cast a force power, you can expend additional force points to modify the power. You gain one of the Force-Empowered Casting options of your choice from those available to the consular class. You gain an additional option at 11th level.

You can only spend a number of force points in this way equal to your proficiency bonus. You regain the ability to do so when you complete a long rest.
",String,Consular,String,"No levels in consular, the ability to cast force powers",String
ExpandedContent,Engineer,2023-05-06T20:49:25.1048591Z,EC,String,ExpandedContent,String,"Your technological experience lends you an uncommon insight that you can use to bolster your allies. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Potent Aptitude die, a d4. 

Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Potent Aptitude die, but must decide before the GM says whether the roll succeeds or fails. Once the Potent Aptitude die is rolled, it is lost.

A creature can have only one Potent Aptitude die at a time.

You can use this feature a number of times equal to your proficiency bonus. You regain any expended uses when you finish a long rest.
",String,Engineer,String,No levels in engineer,String
ExpandedContent,Fighter,2023-05-06T20:49:25.1058597Z,EC,String,ExpandedContent,String,"You learn maneuvers that are fueled by special dice called superiority dice.

***Maneuvers.*** You learn one maneuver of your choice from those available to the fighter class. You learn an additional maneuver at 11th level. Many maneuvers enhance an attack in some way. You can use only one maneuver per attack, and you may only use each maneuver once per turn.

***Superiority Dice.*** You have a number of superiority dice equal to your proficiency bonus, which are d4s. A superiority die is expended when you use it. You regain all of your expended superiority dice when you finish a long rest.

***Saving Throws.*** Some of your maneuvers require your target to make a saving throw to resist the maneuver's effects. The saving throw DC is calculated as follows:

___

**Maneuver save DC** = 8 + your proficiency bonus + your Strength or Dexterity modifier (your choice)

___
",String,Fighter,String,No levels in fighter,String
ExpandedContent,Guardian,2023-05-06T20:49:25.1058597Z,EC,String,ExpandedContent,String,"When you hit a creature with a melee weapon attack, you can expend force points to deal additional damage to the target, which is the same type as the weapon's damage. The additional damage is 1d8 for each point spent in this way. You can't deal more than 2d8 additional damage per hit in this way.

You can only spend a number of force points in this way equal to your proficiency bonus. You regain the ability to do so when you complete a long rest.
",String,Guardian,String,"No levels in guardian, the ability to cast force powers",String
ExpandedContent,Monk,2023-05-06T20:49:25.1058597Z,EC,String,ExpandedContent,String,"Your practice of martial arts grants you the following benefits:
- You can make an unarmed strike as a bonus action. If you would already make an unarmed strike as a bonus action, you can instead make this strike in addition to that unarmed strike.
- You can take the Disengage action as a bonus action. If you would already Disengage as a bonus action, you can instead also Dodge.
- You can take the Dash action as a bonus action. If you would already Dash as a bonus action, you can instead double your jump distance for the turn.

You can use these features a combined number of times equal to your proficiency bonus. You regain all expended uses when you complete a long rest.
",String,Monk,String,No levels in monk,String
ExpandedContent,Operative,2023-05-06T20:49:25.1068588Z,EC,String,ExpandedContent,String,"You know how to strike subtly and exploit a foe's distraction. Once per turn, you can deal an extra 1d6 damage to one creature you hit with a weapon attack if you have advantage on the attack roll. This damage is the same as the weapon's damage, and the attack must use a finesse or a ranged weapon.

You don't need advantage on the attack roll if another enemy of the target is within 5 feet of it, that enemy isn't incapacitated, and you don't have disadvantage on the attack roll.

You can deal this additional damage a number of times equal to your proficiency bonus. You regain all expended uses when you complete a long rest.
",String,Operative,String,No levels in operative,String
ExpandedContent,Scholar,2023-05-06T20:49:25.1068588Z,EC,String,ExpandedContent,String,"You are able to analyze a target, develop a plan on how to best overcome any potential obstacle, and execute that plan with ruthless efficiency. As a bonus action on your turn, you can analyze a target you can see within 60 feet of you. For the next minute, or until you analyze another target, you gain the following benefits:
- When you analyze a hostile creature, your attack and damage rolls made with weapons with the finesse property or blaster weapons against that target may use your Intelligence modifier instead of Strength or Dexterity.
- When you analyze a friendly creature, the target can end your Critical Analysis on them (no action required) to add your Intelligence modifier to one attack roll, ability check, or saving throw. Once a friendly creature has benefited from this ability, they can not do so again until they complete a short or long rest.

You can use this feature a number of times equal to half your proficiency bonus, rounded up. You regain all expended uses when you complete a long rest.
",String,Scholar,String,No levels in scholar,String
ExpandedContent,Scout,2023-05-06T20:49:25.1068588Z,EC,String,ExpandedContent,String,"You learn how to effectively read and track your prey. Once on each of your turns, you can choose a creature you can see within 120 feet and mark it as your quarry (no action required). For the next hour, you gain the following benefits:
- Once per turn, when you hit the target with a weapon attack, you can deal 1d4 additional damage to it of the same type as the weapon's damage. 
- You have advantage on any Wisdom (Perception) or Wisdom (Survival) check you make to find it while it's on the same planet as you.

You can only have one creature marked in this way at a time. You can mark creatures in this way a number of times equal to half your proficiency bonus, rounded up. You regain all expended uses when you complete a long rest.
",String,Scout,String,No levels in scout,String
ExpandedContent,Sentinel,2023-05-06T20:49:25.1068588Z,EC,String,ExpandedContent,String,"When you hit a creature with a melee weapon attack, you can spend 1 force point to use a Force-Empowered Self effect. You have three such effects: Deflection, Double Strike, and Slow Time. You can only use each effect once per turn, and you can only use one effect per hit.

***Deflection.*** You can roll a d4 and add it to your AC against one attack before the start of your next turn.

***Double Strike.*** You can roll a d4 and deal additional damage of the same type equal to the amount rolled.

***Slow Time.*** You can roll a d4 to increase your speed by 5 x the amount rolled until the end of your turn.

You can only spend a number of force points in this way equal to your proficiency bonus. You regain the ability to do so when you complete a long rest.",String,Sentinel,String,"No levels in sentinel, the ability to cast force powers",String
